,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
austen-emma.txt,emma,could,would,miss,must,harriet,much,said,one,weston
austen-persuasion.txt,anne,could,would,captain,mrs,elliot,mr,one,must,wentworth
austen-sense.txt,elinor,could,marianne,would,said,every,one,much,must,sister
bible-kjv.txt,shall,unto,lord,thou,thy,god,said,ye,thee,upon
blake-poems.txt,little,thee,like,thou,thy,love,sweet,night,joy,away
bryant-stories.txt,little,said,came,one,could,king,went,would,great,man
burgess-busterbrown.txt,buster,little,bear,joe,one,brown,farmer,boy,green,could
carroll-alice.txt,said,alice,little,one,would,know,could,like,went,queen
chesterton-ball.txt,said,turnbull,macian,man,like,one,two,us,quite,would
chesterton-brown.txt,said,like,man,brown,one,father,could,know,little,would
chesterton-thursday.txt,syme,said,man,like,one,could,professor,would,face,gregory
edgeworth-parents.txt,said,would,one,upon,could,know,little,good,well,see
melville-moby_dick.txt,whale,one,like,upon,ahab,man,ship,old,ye,would
milton-paradise.txt,thou,thy,heaven,thee,thus,shall,god,yet,though,earth
shakespeare-caesar.txt,caesar,brutus,bru,haue,shall,thou,cassi,cassius,antony,come
shakespeare-hamlet.txt,ham,lord,haue,king,shall,come,let,thou,hamlet,good
shakespeare-macbeth.txt,macb,haue,thou,enter,shall,macbeth,thee,vpon,macd,yet
whitman-leaves.txt,see,one,old,shall,yet,love,life,thee,soul,earth
